CMSA99,,PMSA99,,,,STATE,COUNTY,,CENTRALC,,,,msaLABEL
1122,,9240,,7,,25,27,,1,,75155,,West Boylston town
1122,,9240,,7,,25,27,,2,,75400,,West Brookfield town
1122,,9240,,7,,25,27,,1,,82000,,Worcester city
,,,,,,,,,,,,,
1240,,,,,,,,,,,,,"Brownsville-Harlingen-San Benito, TX MSA"
1240,,,,,,48,61,,1,,,,Cameron County
,,,,,,,,,,,,,
1260,,,,,,,,,,,,,"Bryan-College Station, TX MSA"
1260,,,,,,48,41,,1,,,,Brazos County
,,,,,,,,,,,,,
1280,,,,,,,,,,,,,"Buffalo-Niagara Falls, NY MSA"
1280,,,,,,36,29,,1,,,,Erie County
1280,,,,,,36,63,,1,,,,Niagara County
,,,,,,,,,,,,,
1305,,,,,,,,,,,,,"Burlington, VT MSA"
1305,,,,,,50,7,,,,,,Chittenden County (pt.)
1305,,,,,,50,7,,1,,10675,,Burlington city
1305,,,,,,50,7,,2,,13300,,Charlotte town
1305,,,,,,50,7,,1,,14875,,Colchester town
1305,,,,,,50,7,,1,,24175,,Essex town
1305,,,,,,50,7,,2,,33475,,Hinesburg town
1305,,,,,,50,7,,2,,36700,,Jericho town
1305,,,,,,50,7,,2,,45250,,Milton town
1305,,,,,,50,7,,2,,59275,,Richmond town
1305,,,,,,50,7,,2,,62050,,St. George town
1305,,,,,,50,7,,1,,64300,,Shelburne town
1305,,,,,,50,7,,1,,66175,,South Burlington city
1305,,,,,,50,7,,2,,84475,,Williston town
1305,,,,,,50,7,,1,,85150,,Winooski city
1305,,,,,,50,11,,,,,,Franklin County (pt.)
1305,,,,,,50,11,,2,,24925,,Fairfax town
1305,,,,,,50,11,,2,,27700,,Georgia town
1305,,,,,,50,11,,2,,61675,,St. Albans city
1305,,,,,,50,11,,2,,61750,,St. Albans town
1305,,,,,,50,11,,2,,71725,,Swanton town
1305,,,,,,50,13,,,,,,Grand Isle County (pt.)
1305,,,,,,50,13,,2,,29275,,Grand Isle town
1305,,,,,,50,13,,2,,67000,,South Hero town
,,,,,,,,,,,,,
1320,,,,,,,,,,,,,"Canton-Massillon, OH MSA"
1320,,,,,,39,19,,2,,,,Carroll County
1320,,,,,,39,151,,1,,,,Stark County
,,,,,,,,,,,,,
1350,,,,,,,,,,,,,"Casper, WY MSA"
1350,,,,,,56,25,,1,,,,Natrona County
,,,,,,,,,,,,,
1360,,,,,,,,,,,,,"Cedar Rapids, IA MSA"
1360,,,,,,19,113,,1,,,,Linn County
,,,,,,,,,,,,,
1400,,,,,,,,,,,,,"Champaign-Urbana, IL MSA"
1400,,,,,,17,19,,1,,,,Champaign County
,,,,,,,,,,,,,
1440,,,,,,,,,,,,,"Charleston-North Charleston, SC MSA"
1440,,,,,,45,15,,1,,,,Berkeley County
1440,,,,,,45,19,,1,,,,Charleston County
1440,,,,,,45,35,,1,,,,Dorchester County
,,,,,,,,,,,,,
1480,,,,,,,,,,,,,"Charleston, WV MSA"
1480,,,,,,54,39,,1,,,,Kanawha County
1480,,,,,,54,79,,1,,,,Putnam County
,,,,,,,,,,,,,
1520,,,,,,,,,,,,,"Charlotte-Gastonia-Rock Hill, NC-SC MSA"
1520,,,,,,37,25,,1,,,,"Cabarrus County, NC"
1520,,,,,,37,71,,1,,,,"Gaston County, NC"
1520,,,,,,37,109,,2,,,,"Lincoln County, NC"
1520,,,,,,37,119,,1,,,,"Mecklenburg County, NC"
1520,,,,,,37,159,,2,,,,"Rowan County, NC"
1520,,,,,,37,179,,2,,,,"Union County, NC"
1520,,,,,,45,91,,1,,,,"York County, SC"
,,,,,,,,,,,,,
1540,,,,,,,,,,,,,"Charlottesville, VA MSA"
1540,,,,,,51,3,,1,,,,Albemarle County
1540,,,,,,51,65,,2,,,,Fluvanna County
1540,,,,,,51,79,,2,,,,Greene County
1540,,,,,,51,540,,1,,,,Charlottesville city
,,,,,,,,,,,,,
1560,,,,,,,,,,,,,"Chattanooga, TN-GA MSA"
1560,,,,,,13,47,,1,,,,"Catoosa County, GA"
1560,,,,,,13,83,,2,,,,"Dade County, GA"
1560,,,,,,13,295,,2,,,,"Walker County, GA"
1560,,,,,,47,65,,1,,,,"Hamilton County, TN"
1560,,,,,,47,115,,2,,,,"Marion County, TN"
,,,,,,,,,,,,,
1580,,,,,,,,,,,,,"Cheyenne, WY MSA"
1580,,,,,,56,21,,1,,,,Laramie County
,,,,,,,,,,,,,
1602,,,,14,,,,,,,,,"Chicago-Gary-Kenosha, IL-IN-WI CMSA"
1602,,1600,,14,,,,,,,,,"Chicago, IL PMSA"
1602,,1600,,14,,17,31,,1,,,,Cook County
1602,,1600,,14,,17,37,,2,,,,DeKalb County
1602,,1600,,14,,17,43,,1,,,,DuPage County
1602,,1600,,14,,17,63,,2,,,,Grundy County
1602,,1600,,14,,17,89,,1,,,,Kane County
1602,,1600,,14,,17,93,,2,,,,Kendall County
1602,,1600,,14,,17,97,,1,,,,Lake County
1602,,1600,,14,,17,111,,1,,,,McHenry County
1602,,1600,,14,,17,197,,1,,,,Will County
1602,,2960,,14,,,,,,,,,"Gary, IN PMSA"
1602,,2960,,14,,18,89,,1,,,,Lake County
1602,,2960,,14,,18,127,,2,,,,Porter County
1602,,3740,,14,,,,,,,,,"Kankakee, IL PMSA"
1602,,3740,,14,,17,91,,1,,,,Kankakee County
1602,,3800,,14,,,,,,,,,"Kenosha, WI PMSA"
1602,,3800,,14,,55,59,,1,,,,Kenosha County
,,,,,,,,,,,,,
1620,,,,,,,,,,,,,"Chico-Paradise, CA MSA"
1620,,,,,,6,7,,1,,,,Butte County
,,,,,,,,,,,,,
1642,,,,21,,,,,,,,,"Cincinnati-Hamilton, OH-KY-IN CMSA"
1642,,1640,,21,,,,,,,,,"Cincinnati, OH-KY-IN PMSA"
1642,,1640,,21,,18,29,,2,,,,"Dearborn County, IN"
1642,,1640,,21,,18,115,,2,,,,"Ohio County, IN"
1642,,1640,,21,,21,15,,1,,,,"Boone County, KY"
1642,,1640,,21,,21,37,,1,,,,"Campbell County, KY"
1642,,1640,,21,,21,77,,2,,,,"Gallatin County, KY"
1642,,1640,,21,,21,81,,2,,,,"Grant County, KY"
1642,,1640,,21,,21,117,,1,,,,"Kenton County, KY"
1642,,1640,,21,,21,191,,2,,,,"Pendleton County, KY"
1642,,1640,,21,,39,15,,2,,,,"Brown County, OH"
1642,,1640,,21,,39,25,,1,,,,"Clermont County, OH"
1642,,1640,,21,,39,61,,1,,,,"Hamilton County, OH"
1642,,1640,,21,,39,165,,2,,,,"Warren County, OH"
1642,,3200,,21,,,,,,,,,"Hamilton-Middletown, OH PMSA"
1642,,3200,,21,,39,17,,1,,,,Butler County
,,,,,,,,,,,,,
1660,,,,,,,,,,,,,"Clarksville-Hopkinsville, TN-KY MSA"
1660,,,,,,21,47,,2,,,,"Christian County, KY"
1660,,,,,,47,125,,1,,,,"Montgomery County, TN"
,,,,,,,,,,,,,
1692,,,,28,,,,,,,,,"Cleveland-Akron, OH CMSA"
1692,,80,,28,,,,,,,,,"Akron, OH PMSA"
1692,,80,,28,,39,133,,1,,,,Portage County
1692,,80,,28,,39,153,,1,,,,Summit County
1692,,1680,,28,,,,,,,,,"Cleveland-Lorain-Elyria, OH PMSA"
1692,,1680,,28,,39,7,,2,,,,Ashtabula County
1692,,1680,,28,,39,35,,1,,,,Cuyahoga County
1692,,1680,,28,,39,55,,2,,,,Geauga County
1692,,1680,,28,,39,85,,1,,,,Lake County
1692,,1680,,28,,39,93,,1,,,,Lorain County
1692,,1680,,28,,39,103,,2,,,,Medina County
,,,,,,,,,,,,,
1720,,,,,,,,,,,,,"Colorado Springs, CO MSA"
1720,,,,,,8,41,,1,,,,El Paso County
,,,,,,,,,,,,,
1740,,,,,,,,,,,,,"Columbia, MO MSA"
1740,,,,,,29,19,,1,,,,Boone County
,,,,,,,,,,,,,
1760,,,,,,,,,,,,,"Columbia, SC MSA"
1760,,,,,,45,63,,1,,,,Lexington County
1760,,,,,,45,79,,1,,,,Richland County
,,,,,,,,,,,,,
1800,,,,,,,,,,,,,"Columbus, GA-AL MSA"
1800,,,,,,1,113,,1,,,,"Russell County, AL"
1800,,,,,,13,53,,1,,,,"Chattahoochee County, GA"
1800,,,,,,13,145,,2,,,,"Harris County, GA"
1800,,,,,,13,215,,1,,,,"Muscogee County, GA"
,,,,,,,,,,,,,
1840,,,,,,,,,,,,,"Columbus, OH MSA"
1840,,,,,,39,41,,2,,,,Delaware County
1840,,,,,,39,45,,2,,,,Fairfield County
1840,,,,,,39,49,,1,,,,Franklin County
1840,,,,,,39,89,,1,,,,Licking County
1840,,,,,,39,97,,2,,,,Madison County
1840,,,,,,39,129,,2,,,,Pickaway County
,,,,,,,,,,,,,
1880,,,,,,,,,,,,,"Corpus Christi, TX MSA"
1880,,,,,,48,355,,1,,,,Nueces County
1880,,,,,,48,409,,2,,,,San Patricio County
,,,,,,,,,,,,,
1890,,,,,,,,,,,,,"Corvallis, OR MSA"
1890,,,,,,41,3,,1,,,,Benton County
,,,,,,,,,,,,,
1900,,,,,,,,,,,,,"Cumberland, MD-WV MSA"
1900,,,,,,24,1,,1,,,,"Allegany County, MD"
1900,,,,,,54,57,,2,,,,"Mineral County, WV"
,,,,,,,,,,,,,
1922,,,,31,,,,,,,,,"Dallas-Fort Worth, TX CMSA"
1922,,1920,,31,,,,,,,,,"Dallas, TX PMSA"
1922,,1920,,31,,48,85,,1,,,,Collin County
1922,,1920,,31,,48,113,,1,,,,Dallas County
1922,,1920,,31,,48,121,,1,,,,Denton County
1922,,1920,,31,,48,139,,2,,,,Ellis County
1922,,1920,,31,,48,213,,2,,,,Henderson County
1922,,1920,,31,,48,231,,2,,,,Hunt County
1922,,1920,,31,,48,257,,2,,,,Kaufman County
1922,,1920,,31,,48,397,,1,,,,Rockwall County
1922,,2800,,31,,,,,,,,,"Fort Worth-Arlington, TX PMSA"
1922,,2800,,31,,48,221,,2,,,,Hood County
1922,,2800,,31,,48,251,,2,,,,Johnson County
1922,,2800,,31,,48,367,,2,,,,Parker County
1922,,2800,,31,,48,439,,1,,,,Tarrant County
,,,,,,,,,,,,,
1950,,,,,,,,,,,,,"Danville, VA MSA"
1950,,,,,,51,143,,1,,,,Pittsylvania County
1950,,,,,,51,590,,1,,,,Danville city
,,,,,,,,,,,,,
1960,,,,,,,,,,,,,"Davenport-Moline-Rock Island, IA-IL MSA"
1960,,,,,,17,73,,2,,,,"Henry County, IL"
1960,,,,,,17,161,,1,,,,"Rock Island County, IL"
1960,,,,,,19,163,,1,,,,"Scott County, IA"
,,,,,,,,,,,,,
2000,,,,,,,,,,,,,"Dayton-Springfield, OH MSA"
2000,,,,,,39,23,,1,,,,Clark County
2000,,,,,,39,57,,1,,,,Greene County
2000,,,,,,39,109,,2,,,,Miami County
2000,,,,,,39,113,,1,,,,Montgomery County
,,,,,,,,,,,,,
2020,,,,,,,,,,,,,"Daytona Beach, FL MSA"
2020,,,,,,12,35,,2,,,,Flagler County
2020,,,,,,12,127,,1,,,,Volusia County
,,,,,,,,,,,,,
2030,,,,,,,,,,,,,"Decatur, AL MSA"
2030,,,,,,1,79,,2,,,,Lawrence County
2030,,,,,,1,103,,1,,,,Morgan County
,,,,,,,,,,,,,
2040,,,,,,,,,,,,,"Decatur, IL MSA"
2040,,,,,,17,115,,1,,,,Macon County
,,,,,,,,,,,,,
2082,,,,34,,,,,,,,,"Denver-Boulder-Greeley, CO CMSA"
2082,,1125,,34,,,,,,,,,"Boulder-Longmont, CO PMSA"
2082,,1125,,34,,8,13,,1,,,,Boulder County
2082,,2080,,34,,,,,,,,,"Denver, CO PMSA"
2082,,2080,,34,,8,1,,1,,,,Adams County
2082,,2080,,34,,8,5,,1,,,,Arapahoe County
2082,,2080,,34,,8,31,,1,,,,Denver County
2082,,2080,,34,,8,35,,2,,,,Douglas County
2082,,2080,,34,,8,59,,1,,,,Jefferson County
2082,,3060,,34,,,,,,,,,"Greeley, CO PMSA"
2082,,3060,,34,,8,123,,1,,,,Weld County
,,,,,,,,,,,,,
2120,,,,,,,,,,,,,"Des Moines, IA MSA"
2120,,,,,,19,49,,2,,,,Dallas County
2120,,,,,,19,153,,1,,,,Polk County
2120,,,,,,19,181,,2,,,,Warren County
,,,,,,,,,,,,,
2162,,,,35,,,,,,,,,"Detroit-Ann Arbor-Flint, MI CMSA"
2162,,440,,35,,,,,,,,,"Ann Arbor, MI PMSA"
2162,,440,,35,,26,91,,2,,,,Lenawee County
2162,,440,,35,,26,93,,2,,,,Livingston County
2162,,440,,35,,26,161,,1,,,,Washtenaw County
2162,,2160,,35,,,,,,,,,"Detroit, MI PMSA"
2162,,2160,,35,,26,87,,2,,,,Lapeer County
2162,,2160,,35,,26,99,,1,,,,Macomb County
2162,,2160,,35,,26,115,,2,,,,Monroe County
2162,,2160,,35,,26,125,,1,,,,Oakland County
2162,,2160,,35,,26,147,,1,,,,St. Clair County
2162,,2160,,35,,26,163,,1,,,,Wayne County
2162,,2640,,35,,,,,,,,,"Flint, MI PMSA"
2162,,2640,,35,,26,49,,1,,,,Genesee County
,,,,,,,,,,,,,
2180,,,,,,,,,,,,,"Dothan, AL MSA"
2180,,,,,,1,45,,2,,,,Dale County
2180,,,,,,1,69,,1,,,,Houston County
,,,,,,,,,,,,,
2190,,,,,,,,,,,,,"Dover, DE MSA"
2190,,,,,,10,1,,1,,,,Kent County
,,,,,,,,,,,,,
2200,,,,,,,,,,,,,"Dubuque, IA MSA"
2200,,,,,,19,61,,1,,,,Dubuque County
,,,,,,,,,,,,,
2240,,,,,,,,,,,,,"Duluth-Superior, MN-WI MSA"
2240,,,,,,27,137,,1,,,,"St. Louis County, MN"
2240,,,,,,55,31,,1,,,,"Douglas County, WI"
,,,,,,,,,,,,,
2290,,,,,,,,,,,,,"Eau Claire, WI MSA"
2290,,,,,,55,17,,2,,,,Chippewa County
2290,,,,,,55,35,,1,,,,Eau Claire County
,,,,,,,,,,,,,
2320,,,,,,,,,,,,,"El Paso, TX MSA"
2320,,,,,,48,141,,1,,,,El Paso County
,,,,,,,,,,,,,
2330,,,,,,,,,,,,,"Elkhart-Goshen, IN MSA"
2330,,,,,,18,39,,1,,,,Elkhart County
,,,,,,,,,,,,,
2335,,,,,,,,,,,,,"Elmira, NY MSA"
2335,,,,,,36,15,,1,,,,Chemung County
,,,,,,,,,,,,,
2340,,,,,,,,,,,,,"Enid, OK MSA"
2340,,,,,,40,47,,1,,,,Garfield County
,,,,,,,,,,,,,
2360,,,,,,,,,,,,,"Erie, PA MSA"
2360,,,,,,42,49,,1,,,,Erie County
,,,,,,,,,,,,,
2400,,,,,,,,,,,,,"Eugene-Springfield, OR MSA"
2400,,,,,,41,39,,1,,,,Lane County
,,,,,,,,,,,,,
2440,,,,,,,,,,,,,"Evansville-Henderson, IN-KY MSA"
2440,,,,,,18,129,,2,,,,"Posey County, IN"
2440,,,,,,18,163,,1,,,,"Vanderburgh County, IN"
2440,,,,,,18,173,,2,,,,"Warrick County, IN"
2440,,,,,,21,101,,1,,,,"Henderson County, KY"
,,,,,,,,,,,,,
2520,,,,,,,,,,,,,"Fargo-Moorhead, ND-MN MSA"
2520,,,,,,27,27,,1,,,,"Clay County, MN"
2520,,,,,,38,17,,1,,,,"Cass County, ND"
,,,,,,,,,,,,,
2560,,,,,,,,,,,,,"Fayetteville, NC MSA"
2560,,,,,,37,51,,1,,,,Cumberland County
,,,,,,,,,,,,,
2580,,,,,,,,,,,,,"Fayetteville-Springdale-Rogers, AR MSA"
2580,,,,,,5,7,,2,,,,Benton County
2580,,,,,,5,143,,1,,,,Washington County
,,,,,,,,,,,,,
2620,,,,,,,,,,,,,"Flagstaff, AZ-UT MSA"
2620,,,,,,4,5,,1,,,,"Coconino County, AZ"
2620,,,,,,49,25,,2,,,,"Kane County, UT"
,,,,,,,,,,,,,
2650,,,,,,,,,,,,,"Florence, AL MSA"
2650,,,,,,1,33,,1,,,,Colbert County
2650,,,,,,1,77,,1,,,,Lauderdale County
,,,,,,,,,,,,,
2655,,,,,,,,,,,,,"Florence, SC MSA"
2655,,,,,,45,41,,1,,,,Florence County
,,,,,,,,,,,,,
2670,,,,,,,,,,,,,"Fort Collins-Loveland, CO MSA"
2670,,,,,,8,69,,1,,,,Larimer County
,,,,,,,,,,,,,
2700,,,,,,,,,,,,,"Fort Myers-Cape Coral, FL MSA"
2700,,,,,,12,71,,1,,,,Lee County
,,,,,,,,,,,,,
2710,,,,,,,,,,,,,"Fort Pierce-Port St. Lucie, FL MSA"
2710,,,,,,12,85,,1,,,,Martin County
2710,,,,,,12,111,,1,,,,St. Lucie County
,,,,,,,,,,,,,
2720,,,,,,,,,,,,,"Fort Smith, AR-OK MSA"
2720,,,,,,5,33,,2,,,,"Crawford County, AR"
2720,,,,,,5,131,,1,,,,"Sebastian County, AR"
2720,,,,,,40,135,,2,,,,"Sequoyah County, OK"
,,,,,,,,,,,,,
2750,,,,,,,,,,,,,"Fort Walton Beach, FL MSA"
2750,,,,,,12,91,,1,,,,Okaloosa County
,,,,,,,,,,,,,
2760,,,,,,,,,,,,,"Fort Wayne, IN MSA"
2760,,,,,,18,1,,2,,,,Adams County
2760,,,,,,18,3,,1,,,,Allen County
2760,,,,,,18,33,,2,,,,DeKalb County
2760,,,,,,18,69,,2,,,,Huntington County
2760,,,,,,18,179,,2,,,,Wells County
2760,,,,,,18,183,,2,,,,Whitley County
,,,,,,,,,,,,,
2840,,,,,,,,,,,,,"Fresno, CA MSA"
2840,,,,,,6,19,,1,,,,Fresno County
2840,,,,,,6,39,,2,,,,Madera County
,,,,,,,,,,,,,
2880,,,,,,,,,,,,,"Gadsden, AL MSA"
2880,,,,,,1,55,,1,,,,Etowah County
,,,,,,,,,,,,,
2900,,,,,,,,,,,,,"Gainesville, FL MSA"
2900,,,,,,12,1,,1,,,,Alachua County
,,,,,,,,,,,,,
2975,,,,,,,,,,,,,"Glens Falls, NY MSA"
2975,,,,,,36,113,,1,,,,Warren County
2975,,,,,,36,115,,2,,,,Washington County
,,,,,,,,,,,,,
2980,,,,,,,,,,,,,"Goldsboro, NC MSA"
2980,,,,,,37,191,,1,,,,Wayne County
,,,,,,,,,,,,,
2985,,,,,,,,,,,,,"Grand Forks, ND-MN MSA"
2985,,,,,,27,119,,2,,,,"Polk County, MN"
2985,,,,,,38,35,,1,,,,"Grand Forks County, ND"
,,,,,,,,,,,,,
2995,,,,,,,,,,,,,"Grand Junction, CO MSA"
2995,,,,,,8,77,,1,,,,Mesa County
,,,,,,,,,,,,,
3000,,,,,,,,,,,,,"Grand Rapids-Muskegon-Holland, MI MSA"
3000,,,,,,26,5,,2,,,,Allegan County
3000,,,,,,26,81,,1,,,,Kent County
3000,,,,,,26,121,,1,,,,Muskegon County
3000,,,,,,26,139,,1,,,,Ottawa County
,,,,,,,,,,,,,
3040,,,,,,,,,,,,,"Great Falls, MT MSA"
3040,,,,,,30,13,,1,,,,Cascade County
,,,,,,,,,,,,,
3080,,,,,,,,,,,,,"Green Bay, WI MSA"
3080,,,,,,55,9,,1,,,,Brown County
,,,,,,,,,,,,,
3120,,,,,,,,,,,,,"Greensboro--Winston-Salem--High Point, NC MSA"
3120,,,,,,37,1,,1,,,,Alamance County
3120,,,,,,37,57,,2,,,,Davidson County
3120,,,,,,37,59,,2,,,,Davie County
3120,,,,,,37,67,,1,,,,Forsyth County
3120,,,,,,37,81,,1,,,,Guilford County
3120,,,,,,37,151,,2,,,,Randolph County
3120,,,,,,37,169,,2,,,,Stokes County
3120,,,,,,37,197,,2,,,,Yadkin County
,,,,,,,,,,,,,
3150,,,,,,,,,,,,,"Greenville, NC MSA"
3150,,,,,,37,147,,1,,,,Pitt County
,,,,,,,,,,,,,
3160,,,,,,,,,,,,,"Greenville-Spartanburg-Anderson, SC MSA"
3160,,,,,,45,7,,1,,,,Anderson County
3160,,,,,,45,21,,2,,,,Cherokee County
3160,,,,,,45,45,,1,,,,Greenville County
3160,,,,,,45,77,,2,,,,Pickens County
3160,,,,,,45,83,,1,,,,Spartanburg County
,,,,,,,,,,,,,
3240,,,,,,,,,,,,,"Harrisburg-Lebanon-Carlisle, PA MSA"
3240,,,,,,42,41,,2,,,,Cumberland County
3240,,,,,,42,43,,1,,,,Dauphin County
3240,,,,,,42,75,,2,,,,Lebanon County
3240,,,,,,42,99,,2,,,,Perry County
,,,,,,,,,,,,,
3280,,,,,,,,,,,,,"Hartford, CT MSA"
3280,,,,,,9,3,,,,,,Hartford County (pt.)
3280,,,,,,9,3,,1,,2060,,Avon town
3280,,,,,,9,3,,1,,4300,,Berlin town
3280,,,,,,9,3,,1,,5910,,Bloomfield town
3280,,,,,,9,3,,1,,8420,,Bristol city
3280,,,,,,9,3,,2,,10100,,Burlington town
3280,,,,,,9,3,,2,,12270,,Canton town
3280,,,,,,9,3,,2,,22070,,East Granby town
3280,,,,,,9,3,,1,,22630,,East Hartford town
3280,,,,,,9,3,,2,,24800,,East Windsor town
3280,,,,,,9,3,,2,,25990,,Enfield town
3280,,,,,,9,3,,1,,27600,,Farmington town
3280,,,,,,9,3,,1,,31240,,Glastonbury town
3280,,,,,,9,3,,2,,32640,,Granby town
3280,,,,,,9,3,,1,,37000,,Hartford city
3280,,,,,,9,3,,1,,44700,,Manchester town
3280,,,,,,9,3,,2,,45820,,Marlborough town
3280,,,,,,9,3,,1,,50370,,New Britain city
3280,,,,,,9,3,,1,,52140,,Newington town
3280,,,,,,9,3,,1,,60120,,Plainville town
3280,,,,,,9,3,,1,,65370,,Rocky Hill town
3280,,,,,,9,3,,2,,68940,,Simsbury town
3280,,,,,,9,3,,1,,70550,,Southington town
3280,,,,,,9,3,,1,,71390,,South Windsor town
3280,,,,,,9,3,,2,,74540,,Suffield town
3280,,,,,,9,3,,1,,82590,,West Hartford town
3280,,,,,,9,3,,1,,84900,,Wethersfield town
3280,,,,,,9,3,,1,,87000,,Windsor town
3280,,,,,,9,3,,2,,87070,,Windsor Locks town
3280,,,,,,9,5,,,,,,Litchfield County (pt.)
3280,,,,,,9,5,,2,,2760,,Barkhamsted town
3280,,,,,,9,5,,2,,37280,,Harwinton town
3280,,,,,,9,5,,2,,51350,,New Hartford town
3280,,,,,,9,5,,2,,60750,,Plymouth town
3280,,,,,,9,5,,2,,86440,,Winchester town
3280,,,,,,9,7,,,,,,Middlesex County (pt.)
3280,,,,,,9,7,,1,,18080,,Cromwell town
3280,,,,,,9,7,,2,,20810,,Durham town
3280,,,,,,9,7,,2,,22280,,East Haddam town
3280,,,,,,9,7,,2,,22490,,East Hampton town
3280,,,,,,9,7,,2,,35230,,Haddam town
3280,,,,,,9,7,,1,,47080,,Middlefield town
3280,,,,,,9,7,,1,,47290,,Middletown city
3280,,,,,,9,7,,1,,61800,,Portland town
3280,,,,,,9,11,,,,,,New London County (pt.)
3280,,,,,,9,11,,2,,15910,,Colchester town
3280,,,,,,9,11,,2,,42390,,Lebanon town
3280,,,,,,9,13,,,,,,Tolland County (pt.)
3280,,,,,,9,13,,2,,1080,,Andover town
3280,,,,,,9,13,,2,,6260,,Bolton town
3280,,,,,,9,13,,2,,16400,,Columbia town
3280,,,,,,9,13,,2,,17800,,Coventry town
3280,,,,,,9,13,,2,,25360,,Ellington town
3280,,,,,,9,13,,2,,37910,,Hebron town
3280,,,,,,9,13,,2,,44910,,Mansfield town
3280,,,,,,9,13,,2,,69220,,Somers town
3280,,,,,,9,13,,2,,72090,,Stafford town
3280,,,,,,9,13,,2,,76290,,Tolland town
3280,,,,,,9,13,,1,,78250,,Vernon town
3280,,,,,,9,13,,2,,85950,,Willington town
3280,,,,,,9,15,,,,,,Windham County (pt.)
3280,,,,,,9,15,,2,,1430,,Ashford town
3280,,,,,,9,15,,2,,13810,,Chaplin town
3280,,,,,,9,15,,2,,86790,,Windham town
,,,,,,,,,,,,,
3285,,,,,,,,,,,,,"Hattiesburg, MS MSA"
3285,,,,,,28,35,,1,,,,Forrest County
3285,,,,,,28,73,,2,,,,Lamar County
,,,,,,,,,,,,,
3290,,,,,,,,,,,,,"Hickory-Morganton-Lenoir, NC MSA"
3290,,,,,,37,3,,2,,,,Alexander County
3290,,,,,,37,23,,2,,,,Burke County
3290,,,,,,37,27,,2,,,,Caldwell County
3290,,,,,,37,35,,1,,,,Catawba County
,,,,,,,,,,,,,
3320,,,,,,,,,,,,,"Honolulu, HI MSA"
3320,,,,,,15,3,,1,,,,Honolulu County
,,,,,,,,,,,,,
3350,,,,,,,,,,,,,"Houma, LA MSA"
3350,,,,,,22,57,,2,,,,Lafourche Parish
3350,,,,,,22,109,,1,,,,Terrebonne Parish
,,,,,,,,,,,,,
3362,,,,42,,,,,,,,,"Houston-Galveston-Brazoria, TX CMSA"
3362,,1145,,42,,,,,,,,,"Brazoria, TX PMSA"
3362,,1145,,42,,48,39,,2,,,,Brazoria County
3362,,2920,,42,,,,,,,,,"Galveston-Texas City, TX PMSA"
3362,,2920,,42,,48,167,,1,,,,Galveston County
3362,,3360,,42,,,,,,,,,"Houston, TX PMSA"
3362,,3360,,42,,48,71,,2,,,,Chambers County
3362,,3360,,42,,48,157,,1,,,,Fort Bend County
3362,,3360,,42,,48,201,,1,,,,Harris County
3362,,3360,,42,,48,291,,2,,,,Liberty County
3362,,3360,,42,,48,339,,2,,,,Montgomery County
3362,,3360,,42,,48,473,,2,,,,Waller County
,,,,,,,,,,,,,
3400,,,,,,,,,,,,,"Huntington-Ashland, WV-KY-OH MSA"
3400,,,,,,21,19,,1,,,,"Boyd County, KY"
3400,,,,,,21,43,,2,,,,"Carter County, KY"
3400,,,,,,21,89,,2,,,,"Greenup County, KY"
3400,,,,,,39,87,,1,,,,"Lawrence County, OH"
3400,,,,,,54,11,,1,,,,"Cabell County, WV"
3400,,,,,,54,99,,2,,,,"Wayne County, WV"
,,,,,,,,,,,,,
3440,,,,,,,,,,,,,"Huntsville, AL MSA"
3440,,,,,,1,83,,2,,,,Limestone County
3440,,,,,,1,89,,1,,,,Madison County
,,,,,,,,,,,,,
3480,,,,,,,,,,,,,"Indianapolis, IN MSA"
3480,,,,,,18,11,,2,,,,Boone County
3480,,,,,,18,57,,1,,,,Hamilton County
3480,,,,,,18,59,,2,,,,Hancock County
3480,,,,,,18,63,,2,,,,Hendricks County
3480,,,,,,18,81,,1,,,,Johnson County
3480,,,,,,18,95,,1,,,,Madison County
3480,,,,,,18,97,,1,,,,Marion County
3480,,,,,,18,109,,2,,,,Morgan County
3480,,,,,,18,145,,2,,,,Shelby County
,,,,,,,,,,,,,
3500,,,,,,,,,,,,,"Iowa City, IA MSA"
3500,,,,,,19,103,,1,,,,Johnson County
,,,,,,,,,,,,,
3520,,,,,,,,,,,,,"Jackson, MI MSA"
3520,,,,,,26,75,,1,,,,Jackson County
,,,,,,,,,,,,,
3560,,,,,,,,,,,,,"Jackson, MS MSA"
3560,,,,,,28,49,,1,,,,Hinds County
3560,,,,,,28,89,,2,,,,Madison County
3560,,,,,,28,121,,1,,,,Rankin County
,,,,,,,,,,,,,
3580,,,,,,,,,,,,,"Jackson, TN MSA"
3580,,,,,,47,23,,2,,,,Chester County
3580,,,,,,47,113,,1,,,,Madison County
,,,,,,,,,,,,,
3600,,,,,,,,,,,,,"Jacksonville, FL MSA"
3600,,,,,,12,19,,1,,,,Clay County
3600,,,,,,12,31,,1,,,,Duval County
3600,,,,,,12,89,,2,,,,Nassau County
3600,,,,,,12,109,,2,,,,St. Johns County
,,,,,,,,,,,,,
3605,,,,,,,,,,,,,"Jacksonville, NC MSA"
3605,,,,,,37,133,,1,,,,Onslow County
,,,,,,,,,,,,,
3610,,,,,,,,,,,,,"Jamestown, NY MSA"
3610,,,,,,36,13,,1,,,,Chautauqua County
,,,,,,,,,,,,,
