SMSA70,,STATE,COUNTY,,,,msaLABEL
1440,,45,15,,,,Berkeley County
1440,,45,19,,,,Charleston County
,,,,,,,
1480,,,,,,,"Charleston, WV SMSA"
1480,,54,39,,,,Kanawha County
,,,,,,,
1520,,,,,,,"Charlotte, NC SMSA"
1520,,37,119,,,,Mecklenburg County
1520,,37,179,,,,Union County
,,,,,,,
1560,,,,,,,"Chattanooga, TN-GA SMSA"
1560,,13,295,,,,"Walker County, GA"
1560,,47,65,,,,"Hamilton County, TN"
,,,,,,,
1600,,,,,,,"Chicago, IL SMSA"
1600,,17,31,,,,Cook County
1600,,17,43,,,,Du Page County
1600,,17,89,,,,Kane County
1600,,17,97,,,,Lake County
1600,,17,111,,,,McHenry County
1600,,17,197,,,,Will County
,,,,,,,
1640,,,,,,,"Cincinnati, OH-KY-IN SMSA"
1640,,18,29,,,,"Dearborn County, IN"
1640,,21,15,,,,"Boone County, KY"
1640,,21,37,,,,"Campbell County, KY"
1640,,21,117,,,,"Kenton County, KY"
1640,,39,25,,,,"Clermont County, OH"
1640,,39,61,,,,"Hamilton County, OH"
1640,,39,165,,,,"Warren County, OH"
,,,,,,,
1680,,,,,,,"Cleveland, OH SMSA"
1680,,39,35,,,,Cuyahoga County
1680,,39,55,,,,Geauga County
1680,,39,85,,,,Lake County
1680,,39,103,,,,Medina County
,,,,,,,
1720,,,,,,,"Colorado Springs, CO SMSA"
1720,,8,41,,,,El Paso County
,,,,,,,
1740,,,,,,,"Columbia, MO SMSA"
1740,,29,19,,,,Boone County
,,,,,,,
1760,,,,,,,"Columbia, SC SMSA"
1760,,45,63,,,,Lexington County
1760,,45,79,,,,Richland County
,,,,,,,
1800,,,,,,,"Columbus, GA-AL SMSA"
1800,,1,113,,,,"Russell County, AL"
1800,,13,53,,,,"Chattahoochee County, GA"
1800,,13,215,,,,"Muscogee County, GA"
,,,,,,,
1840,,,,,,,"Columbus, OH SMSA"
1840,,39,41,,,,Delaware County
1840,,39,49,,,,Franklin County
1840,,39,129,,,,Pickaway County
,,,,,,,
,,,,,,,
1880,,,,,,,"Corpus Christi, TX SMSA"
1880,,48,355,,,,Nueces County
1880,,48,409,,,,San Patricio County
,,,,,,,
1920,,,,,,,"Dallas, TX SMSA"
1920,,48,85,,,,Collin County
1920,,48,113,,,,Dallas County
1920,,48,121,,,,Denton County
1920,,48,139,,,,Ellis County
1920,,48,257,,,,Kaufman County
1920,,48,397,,,,Rockwall County
,,,,,,,
1930,,,,,,,"Danbury, CT SMSA"
1930,,9,1,,,,Fairfield County (pt.)
1930,,9,1,,4720,,Bethel town
1930,,9,1,,8980,,Brookfield town
1930,,9,1,,18430,,Danbury city
1930,,9,1,,50860,,New Fairfield town
,,,,,,,
1960,,,,,,,"Davenport-Rock Island-Moline, IA-IL SMSA"
1960,,19,163,,,,"Scott County, IA"
1960,,17,73,,,,"Henry County, IL"
1960,,17,161,,,,"Rock Island County, IL"
,,,,,,,
2000,,,,,,,"Dayton, OH SMSA"
2000,,39,57,,,,Greene County
